Data Supplied By: National Livestock Reporting Service,,,,,,,,,
Data source: National Livestock Reporting Service,,,,,,,,,
,,,,,,,,,
Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/,,,,,,,,,
,,,,,,,,,
Quarterly,State,Saleyard,Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head,Price c/kg Lwt
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,C,2,19,141.49
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,C,3,32,134.41
30/09/2000 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,3,35,134.45
30/09/2000 0:00,NSW,Armidale,Yearling Steer,0-200,Restocker,C,2,16,165.6
30/09/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,C,2,362,158.45
30/09/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,D,2,198,151.92
30/09/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,C,2,4,132
30/09/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,C,3,20,150.05
30/09/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,D,2,7,133.46
30/09/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,D,3,5,133.2
30/09/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,C,2,324,155.38
30/09/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,C,3,7,134.6
30/09/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,D,1,1,126
30/09/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,D,2,86,144.1
30/09/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,C,2,9,141.4
30/09/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,C,3,27,144.53
30/09/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,D,2,3,138.8
30/09/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,C,2,295,146.69
30/09/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,C,3,12,145.87
30/09/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,D,2,69,137.89
30/09/2000 0:00,NSW,Armidale,Yearling Steer,400+,Processor,C,3,11,144.76
30/09/2000 0:00,NSW,Armidale,Yearling Steer,400+,Restocker,C,2,16,146.18
30/09/2000 0:00,NSW,Armidale,Yearling Steer,400+,Restocker,C,3,19,147.2
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,0-200,Processor,D,1,64,146.72
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,0-200,Restocker,D,1,118,164.92
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,0-200,Restocker,D,2,41,128.07
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,1,18,132.6
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,2,359,153.98
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,3,2,135.2
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,1,23,132.61
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,2,32,145.37
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,C,2,257,159.43
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,D,1,15,133
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,D,2,34,127.64
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,2,153,150.68
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,3,69,147.75
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,D,1,6,140
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,D,2,5,126
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,C,2,22,160.86
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,D,2,6,133.2
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,2,60,142.57
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,3,217,151.23
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,4,8,151.2
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,D,1,16,121.8
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,D,2,15,125.85
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,C,2,31,143.15
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,D,2,6,105.6
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,B,2,1,159.6
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,3,36,143.49
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,4,4,157.6
31/12/2000 0:00,NSW,Armidale,Yearling Heifer,400+,Restocker,C,3,11,158.6
31/12/2000 0:00,NSW,Armidale,Yearling Steer,0-200,Processor,C,2,30,196.91
31/12/2000 0:00,NSW,Armidale,Yearling Steer,0-200,Processor,D,1,6,145
31/12/2000 0:00,NSW,Armidale,Yearling Steer,0-200,Restocker,D,2,99,201.77
31/12/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Processor,B,2,1,185.6
31/12/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Processor,C,3,11,162.8
31/12/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Processor,D,2,12,152.33
31/12/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,C,2,440,178.5
31/12/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,D,1,37,118.79
31/12/2000 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,D,2,113,152.59
31/12/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,C,3,5,147.2
31/12/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,D,2,5,125.6
31/12/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,C,2,418,169.7
31/12/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,C,3,3,150
31/12/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,D,1,8,140.6
31/12/2000 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,D,2,56,143.04
31/12/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,C,3,20,151.17
31/12/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,D,2,4,117.4
31/12/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,C,2,245,167.24
31/12/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,C,3,9,144.78
31/12/2000 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,D,2,21,140.29
31/12/2000 0:00,NSW,Armidale,Yearling Steer,400+,Processor,D,2,3,117.6
31/12/2000 0:00,NSW,Armidale,Yearling Steer,400+,Restocker,C,2,3,165.2
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,2,181,151.29
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,3,9,151
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,2,123,141.97
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,E,2,7,128.2
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,C,2,17,158
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,D,2,12,171.6
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,2,322,150.78
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,3,216,154.74
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,D,2,103,144.44
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,C,2,37,151.61
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,D,2,10,144.2
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,2,346,150.25
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,3,393,155.4
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,4,24,151.23
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,D,2,103,142.88
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,C,2,61,154.24
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,2,9,137.2
31/03/2001 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,3,29,156.23
31/03/2001 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,C,2,234,178.07
31/03/2001 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,D,2,80,159.72
31/03/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,C,2,380,171
31/03/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,D,1,12,141.2
31/03/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,D,2,128,158.32
31/03/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,D,2,2,130.2
31/03/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,C,2,602,169.4
31/03/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,D,2,44,153.33
31/03/2001 0:00,NSW,Armidale,Yearling Steer,400+,Processor,C,3,35,177.8
31/03/2001 0:00,NSW,Armidale,Yearling Steer,400+,Processor,C,4,31,175.86
31/03/2001 0:00,NSW,Armidale,Yearling Steer,400+,Restocker,C,2,169,168.3
31/03/2001 0:00,NSW,Armidale,Yearling Steer,400+,Restocker,C,3,6,177.8
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,2,152,151.46
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,3,48,166.72
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,1,20,126.72
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,2,56,142.74
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,D,2,14,146.49
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,2,402,150.59
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,3,243,155.03
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,D,2,88,141.02
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,C,2,42,155.6
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,D,2,10,132.2
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,B,3,3,168.6
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,2,329,152.33
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,3,424,157.47
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,4,64,154.29
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,D,2,25,142.69
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,D,3,21,151.01
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,C,2,10,153.2
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,D,2,13,164.6
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,B,2,1,176
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,B,3,7,157.09
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,3,49,158.79
30/06/2001 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,4,69,164.71
30/06/2001 0:00,NSW,Armidale,Yearling Steer,200-280,Processor,D,2,9,154.6
30/06/2001 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,C,2,66,171.85
30/06/2001 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,D,2,35,153.72
30/06/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,C,2,9,168.73
30/06/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,C,3,10,181.6
30/06/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,C,2,312,175.93
30/06/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Restocker,D,2,80,158.14
30/06/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,C,2,5,177.2
30/06/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Processor,C,3,5,176.32
30/06/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,C,2,433,179.39
30/06/2001 0:00,NSW,Armidale,Yearling Steer,330-400,Restocker,D,2,69,159.58
30/06/2001 0:00,NSW,Armidale,Yearling Steer,400+,Processor,C,2,16,173.6
30/06/2001 0:00,NSW,Armidale,Yearling Steer,400+,Processor,C,3,7,183.06
30/06/2001 0:00,NSW,Armidale,Yearling Steer,400+,Restocker,C,2,295,178.22
30/06/2001 0:00,NSW,Armidale,Yearling Steer,400+,Restocker,C,3,49,178.08
30/06/2001 0:00,NSW,Armidale,Yearling Steer,400+,Restocker,C,4,4,170
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,2,320,182.9
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,C,3,44,191.5
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,1,13,165.89
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Processor,D,2,79,165.49
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,C,2,19,189.63
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,200-280,Restocker,C,3,9,193.6
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,2,264,178.11
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,C,3,198,186.13
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Processor,D,2,38,172.08
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,C,2,78,192.29
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,C,3,20,186.4
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,280-330,Restocker,D,2,12,159.2
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,2,175,169.81
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,C,3,303,187.52
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Processor,D,2,10,153.28
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,C,2,11,187.02
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,330-400,Restocker,C,3,14,187
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,3,20,184.2
30/09/2001 0:00,NSW,Armidale,Yearling Heifer,400+,Processor,C,4,12,187.85
30/09/2001 0:00,NSW,Armidale,Yearling Steer,0-200,Restocker,D,2,10,233.6
30/09/2001 0:00,NSW,Armidale,Yearling Steer,200-280,Processor,D,2,7,164.2
30/09/2001 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,C,2,347,205.79
30/09/2001 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,D,1,5,170
30/09/2001 0:00,NSW,Armidale,Yearling Steer,200-280,Restocker,D,2,91,187.18
30/09/2001 0:00,NSW,Armidale,Yearling Steer,280-330,Processor,C,3,3,179.87
